Application Date,Process Date,Merchant Number,Merchant Name,Transaction Number,Merchant Transaction Number,Bank Name,Bank Code,Branch Name,Branch Code,Account Type,Account Number,Account Holder (KATAKANA),Account Holder (KANJI),Currency,Amount,Fee,Status,Callback,API Type
2024-10-02 16:46:41,,8840451493,"Kazuha Kadehara",JW4300463096,="uUGYx2PSkJ","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"53,974.00","10.00",applying,No,Batch
2024-10-02 16:46:41,,8840451493,"Kazuha Kadehara",JW8216785587,="SNzLIxGw68","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"53,974.00","10.00",applying,No,Batch
2024-10-02 16:46:41,,8840451493,"Kazuha Kadehara",JW2781981070,="0cy1pLO8eN","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"53,974.00","10.00",applying,No,Batch
2024-10-02 16:46:41,,8840451493,"Kazuha Kadehara",JW2138049553,="gnURRb7wqg","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"53,974.00","10.00",applying,No,Batch
2024-10-02 16:46:41,,8840451493,"Kazuha Kadehara",JW5818128496,="zM3GeZPk71","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"53,974.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW6019361960,="8OomiNGwDt","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW7234700807,="aIgknUvJcq","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW6331479993,="2pKvdKAn4r","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW6468777852,="Aj6l7WTkGj","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW0749423745,="9koz69c3eh","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:56,,8840451493,"Kazuha Kadehara",JW3240134278,="vbq3M44cXy","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:55,,8840451493,"Kazuha Kadehara",JW0036326627,="TrgTabmJnw","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:52,,8840451493,"Kazuha Kadehara",JW3842640073,="911Id3BCBO","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:52,,8840451493,"Kazuha Kadehara",JW4992643701,="SKszV2ahp3","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"39,230.00","10.00",applying,No,Batch
2024-10-02 16:45:19,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW8340665141,="6oE02lxXZC","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:19,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW4797954739,="UgSHf1mM3e","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:19,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW0136222082,="2kbdX7bSik","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW1879150831,="30V4OeTvtk","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW0801126624,="sMrgugSMiU","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW2801544193,="BGfs0NvOkQ","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW3838583125,="tHCug0BmuD","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW6402847678,="qbvNAWeQAs","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW1991126527,="7ncHUrVETx","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW1276873037,="EW3JGw3Ukg","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW0658758638,="CjMlQtj2Py","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW0126692524,="Fz3PqlhyZH","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW5803040083,="DvLvIVo1Td","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:16,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW3726564490,="sYkCxx8C55","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW5032288207,="2VvXJp0Ps3","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW3095715266,="nkqNV5ciqN","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW5538043402,="pfWghNC3Ee","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW3402049492,="ZBPur3yjgF","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW3266687755,="N9JSROknRM","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:45:15,2024-10-02 16:45:23,8840451493,"Kazuha Kadehara",JW7674964251,="ElxCmSlUws","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"43,621.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW0407404093,="34jqfUTTQj","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW7508540522,="rfymln7RVB","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW1228983000,="GyPA33I5uk","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW9757294595,="1Brue58Dl1","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW3216239701,="yLLSvt6OIq","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW6844387167,="uK7QGPwlFH","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW7569657957,="wS6QzyIVap","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW4527018620,="untwBjj7o0","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW4555644758,="kSf6kziSmg","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
2024-10-02 16:42:39,2024-10-02 16:42:44,8840451493,"Kazuha Kadehara",JW6100432624,="7WmQcFfHS9","みずほ銀行","=""0001""","函館支店","=""735""",普通口座,"=""1134687""","ｶ）ｸﾞﾛｰﾊﾞﾙﾌｨｰﾄﾞ","カ）グローバルフィード",JPY,"60,789.00","10.00",completed,Yes,Batch
